control,depth,count,rmse,relative_rmse,max_abs_error,orthogonality_defect,breakdown_index,min_beta,error
signal,8,8,81.45541822837303,1.8846986851790832,226.3389675826757,2.1639793635435318e-128,-1,0.0002722573986453406,
signal,12,12,124.65843656729497,2.218404748305132,419.7618208532592,2.9741505906042764e-118,-1,0.00018590011808197756,
signal,16,12,5.961817350646387,0.10771333668127436,17.990023956113966,2.289079209988382e-105,-1,0.00012023663952182778,
signal,20,12,0.6210160066365364,0.011054098139060069,2.078994955666758,3.835229269763849e-93,-1,9.701864358338737e-05,
signflip,8,1,9.001865670067648,0.6368617415480133,9.001865670067648,2.624170354518394e-141,1,0.001910897792088026,
signflip,12,1,9.001865670067648,0.6368617415480133,9.001865670067648,2.624170354518394e-141,1,0.001910897792088026,
signflip,16,1,9.001865670067648,0.6368617415480133,9.001865670067648,2.624170354518394e-141,1,0.001910897792088026,
signflip,20,1,9.001865670067648,0.6368617415480133,9.001865670067648,2.624170354518394e-141,1,0.001910897792088026,
permuted,8,1,1.4030831676107433e+60,9.926497710719183e+58,1.4030831676107433e+60,0.0,0,nan,
permuted,12,1,1.4030831676107433e+60,9.926497710719183e+58,1.4030831676107433e+60,0.0,0,nan,
permuted,16,1,1.4030831676107433e+60,9.926497710719183e+58,1.4030831676107433e+60,0.0,0,nan,
permuted,20,1,1.4030831676107433e+60,9.926497710719183e+58,1.4030831676107433e+60,0.0,0,nan,
gaussian,8,2,4.730440300659268e+42,2.2502289891675306e+41,6.689852829188598e+42,2.624170354518394e-141,1,3.493050121035468e-24,
gaussian,12,2,4.730440300659268e+42,2.2502289891675306e+41,6.689852829188598e+42,2.624170354518394e-141,1,3.493050121035468e-24,
gaussian,16,2,4.730440300659268e+42,2.2502289891675306e+41,6.689852829188598e+42,2.624170354518394e-141,1,3.493050121035468e-24,
gaussian,20,2,4.730440300659268e+42,2.2502289891675306e+41,6.689852829188598e+42,2.624170354518394e-141,1,3.493050121035468e-24,
phase_scramble,8,0,inf,inf,inf,inf,-1,nan,m0 must be positive
phase_scramble,12,0,inf,inf,inf,inf,-1,nan,m0 must be positive
phase_scramble,16,0,inf,inf,inf,inf,-1,nan,m0 must be positive
phase_scramble,20,0,inf,inf,inf,inf,-1,nan,m0 must be positive
