depth,relative_tolerance,absolute_tolerance,trim_fraction,unfolding,minimum_spacings_gate,eligible,gue_wins,stable_start_index,stable_end_index,stable_count,bulk_start_index,bulk_end_index,bulk_count,spacing_count,ks_gue,ks_goe,ks_poisson,gue_margin_vs_goe,gue_margin_vs_poisson,mean_ratio,ratio_ks_gue,ratio_ks_goe,ratio_ks_poisson,zero_rmse,zero_relative_rmse,zero_max_abs_error,max_relative_depth_drift,mean_relative_depth_drift,bootstrap_trials,gue_win_fraction,median_ks_gue,median_ks_goe,median_ks_poisson
36,1e-06,1e-06,0.0,rvm,8,True,True,1,20,20,1,20,20,19,0.23820967617728894,0.271722132591918,0.43979243768214515,0.03351245641462908,0.2015827615048562,0.9569538607629483,0.8725922399888235,0.8997658893558651,0.9420097436035028,9.99999998896328e-07,3.1651815841597214e-08,1.00000000458067e-06,2e-07,1.5249999999999997e-07,10,1.0,0.2567696015914407,0.2896356968599596,0.45818690437633536
36,1e-06,1e-06,0.0,polynomial,8,True,True,1,20,20,1,20,20,19,0.5291365680639813,0.5409734126775039,0.6305326456410436,0.011836844613522524,0.10139607757706226,0.9976665758996143,0.9955740303308221,0.9965238363753651,0.9979929936427212,9.99999998896328e-07,3.1651815841597214e-08,1.00000000458067e-06,2e-07,1.5249999999999997e-07,10,1.0,0.5295020440049287,0.5412618462913242,0.6306810683762887
36,1e-06,1e-06,0.0,local,8,True,True,1,20,20,1,20,20,19,0.5289347525854392,0.5408141382757907,0.630450674657306,0.011879385690351518,0.10151592207186677,0.9972869172095594,0.9950264372694356,0.9960937538533957,0.9977446786652934,9.99999998896328e-07,3.1651815841597214e-08,1.00000000458067e-06,2e-07,1.5249999999999997e-07,10,1.0,0.5293617441302775,0.5411511219162309,0.6306240936076759
36,1e-06,1e-06,0.1,rvm,8,True,True,1,20,20,3,18,16,15,0.28423164705244697,0.3231011871422004,0.5058338417234287,0.03886954008975341,0.22160219467098174,0.9616652694825233,0.9112697993156957,0.9302547323582533,0.9596918131070316,9.999999988075103e-07,2.860453859228369e-08,1.00000000458067e-06,1.9e-07,1.525e-07,10,1.0,0.3241186856557162,0.3547201205692273,0.5156219149544619
36,1e-06,1e-06,0.1,polynomial,8,True,True,1,20,20,3,18,16,15,0.5294458653133561,0.5412175103117288,0.630658255586875,0.011771644998372688,0.10121239027351892,0.9974926499550804,0.9926258040886807,0.9942082741331015,0.9966560603316745,9.999999988075103e-07,2.860453859228369e-08,1.00000000458067e-06,1.9e-07,1.525e-07,10,1.0,0.5297090580163016,0.5414252200851913,0.6307651258811023
36,1e-06,1e-06,0.1,local,8,True,True,1,20,20,3,18,16,15,0.5287473996192831,0.5406662767530832,0.6303745701658898,0.011918877133800132,0.10162717054660675,0.9971802382841245,0.995026437269435,0.9960937538533952,0.9977446786652931,9.999999988075103e-07,2.860453859228369e-08,1.00000000458067e-06,1.9e-07,1.525e-07,10,1.0,0.5289947028068811,0.5408614515539427,0.6304750251096786
40,1e-06,1e-06,0.0,rvm,8,True,True,1,20,20,1,20,20,19,0.23820967617728894,0.271722132591918,0.43979243768214515,0.03351245641462908,0.2015827615048562,0.9569538607629483,0.8725922399888235,0.8997658893558651,0.9420097436035028,9.99999998896328e-07,3.1651815841597214e-08,1.00000000458067e-06,2e-07,1.5249999999999997e-07,10,1.0,0.26950394829763474,0.30838747819560164,0.45683505112696265
40,1e-06,1e-06,0.0,polynomial,8,True,True,1,20,20,1,20,20,19,0.5291365680639813,0.5409734126775039,0.6305326456410436,0.011836844613522524,0.10139607757706226,0.9976665758996143,0.9955740303308221,0.9965238363753651,0.9979929936427212,9.99999998896328e-07,3.1651815841597214e-08,1.00000000458067e-06,2e-07,1.5249999999999997e-07,10,1.0,0.5296063014185035,0.5413441254083848,0.6307234018624721
40,1e-06,1e-06,0.0,local,8,True,True,1,20,20,1,20,20,19,0.5289347525854392,0.5408141382757907,0.630450674657306,0.011879385690351518,0.10151592207186677,0.9972869172095594,0.9950264372694356,0.9960937538533957,0.9977446786652934,9.99999998896328e-07,3.1651815841597214e-08,1.00000000458067e-06,2e-07,1.5249999999999997e-07,10,1.0,0.5293562265131984,0.5411467675761344,0.6306218540843889
40,1e-06,1e-06,0.1,rvm,8,True,True,1,20,20,3,18,16,15,0.28423164705244697,0.3231011871422004,0.5058338417234287,0.03886954008975341,0.22160219467098174,0.9616652694825233,0.9112697993156957,0.9302547323582533,0.9596918131070316,9.999999988075103e-07,2.860453859228369e-08,1.00000000458067e-06,1.9e-07,1.525e-07,10,1.0,0.3314130107108742,0.37510289606741065,0.5193561812099098
40,1e-06,1e-06,0.1,polynomial,8,True,True,1,20,20,3,18,16,15,0.5294458653133561,0.5412175103117288,0.630658255586875,0.011771644998372688,0.10121239027351892,0.9974926499550804,0.9926258040886807,0.9942082741331015,0.9966560603316745,9.999999988075103e-07,2.860453859228369e-08,1.00000000458067e-06,1.9e-07,1.525e-07,10,1.0,0.5294113241580669,0.5411902502779202,0.630644226981572
40,1e-06,1e-06,0.1,local,8,True,True,1,20,20,3,18,16,15,0.5287473996192831,0.5406662767530832,0.6303745701658898,0.011918877133800132,0.10162717054660675,0.9971802382841245,0.995026437269435,0.9960937538533952,0.9977446786652931,9.999999988075103e-07,2.860453859228369e-08,1.00000000458067e-06,1.9e-07,1.525e-07,10,1.0,0.5293021281811573,0.541104073178512,0.6305998843573557
